,Wirral,,Bradford,Rutland,Greenwich,Argyll and Bute,South Lanarkshire,Fife,Halton,Pseudo (Channel Islands),South Gloucestershire,Wandsworth,Caerphilly,Isle of Wight,Windsor and Maidenhead,Tower Hamlets,Barnet,Suffolk,Hackney,Bath and North East Somerset,Glasgow City,Nottinghamshire,Belfast,Middlesbrough,Denbighshire,Kent,Cambridgeshire,"Bournemouth, Christchurch and Poole",Bolton,Doncaster,North Tyneside,Wakefield,Monmouthshire,Vale of Glamorgan,Isles of Scilly,Northumberland,Hampshire,Blackburn with Darwen,Cardiff,Wolverhampton,Leeds,Isle of Anglesey,Bury,Stoke-on-Trent,Warrington,Cheshire West and Chester,Medway,Clackmannanshire,North East Lincolnshire,Renfrewshire,Aberdeen City,Ealing,Salford,Walsall,Oxfordshire,"Kingston upon Hull, City of",Solihull,Dorset,Powys,Bexley,Worcestershire,Swansea,Lewisham,Inverclyde,East Riding of Yorkshire,Blackpool,Coventry,Haringey,Lincolnshire,Buckinghamshire,Wrexham,Pembrokeshire,Derby,Islington,Aberdeenshire,Sutton,South Ayrshire,Knowsley,Staffordshire,Stockport,Hillingdon,Rhondda Cynon Taf,Brent,Milton Keynes,Southwark,North Somerset,Manchester,Redbridge,Gloucestershire,Darlington,Wokingham,Oldham,Nottingham,Neath Port Talbot,Wiltshire,Cornwall,Ceredigion,Stirling,Antrim and Newtownabbey,"Herefordshire, County of",Somerset,Rotherham,North Yorkshire,West Berkshire,Sefton,Portsmouth,Scottish Borders,Liverpool,Merthyr Tydfil,Birmingham,Kingston upon Thames,Havering,Warwickshire,Camden,Dudley,Calderdale,Southampton,"Bristol, City of",Kirklees,Shropshire,Derbyshire,Trafford,East Lothian,East Renfrewshire,Fermanagh and Omagh,Southend-on-Sea,Torbay,Cheshire East,Bedford,Bracknell Forest,Sheffield,Telford and Wrekin,Essex,North Lincolnshire,Newham,East Dunbartonshire,Luton,Lisburn and Castlereagh,Highland,Plymouth,Derry City and Strabane,Swindon,Cumbria,Bridgend,Barnsley,Devon,East Ayrshire,Dumfries and Galloway,St. Helens,Waltham Forest,South Tyneside,Newcastle upon Tyne,Croydon,West Lothian,Gateshead,"Armagh City, Banbridge and Craigavon",Central Bedfordshire,Lambeth,Hammersmith and Fulham,Hartlepool,North Ayrshire,Barking and Dagenham,Rochdale,Gwynedd,Wigan,Brighton and Hove,Carmarthenshire,City of London,Causeway Coast and Glens,Thurrock,Sandwell,North Lanarkshire,Norfolk,Surrey,Moray,Stockton-on-Tees,Redcar and Cleveland,Bromley,Peterborough,Tameside,Ards and North Down,County Durham,Mid Ulster,Flintshire,York,Hounslow,Reading,Northamptonshire,East Sussex,Kensington and Chelsea,Perth and Kinross,City of Edinburgh,Hertfordshire,Leicestershire,Conwy,Harrow,Leicester,Lancashire,Newport,Sunderland,Enfield,Richmond upon Thames,West Sussex,"Newry, Mourne and Down",Slough,Angus,West Dunbartonshire,Westminster,Falkirk,Merton,Blaenau Gwent,Dundee City
64,0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,
65,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.012987012987012988,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.014925373134328358,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,
66,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.07142857142857142,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.008547008547008548,0.0,0.0,0.02112676056338028,0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0021645021645021645,,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.027777777777777776,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.016666666666666666,,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.05263157894736842,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0053475935828877,0.0,0.0,,,0.02040816326530612,0.0,,0.0,0.005649717514124294,0.003215434083601286,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,
67,0.0,,0.003787878787878788,,0.0,,,,0.0,,0.11764705882352941,0.0,,,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.02040816326530612,0.0,0.1,0.0,0.0,0.0,,,,0.0,0.01818181818181818,0.02127659574468085,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.043478260869565216,,0.0,,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.047619047619047616,,0.058823529411764705,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0625,,0.0,,0.05555555555555555,0.0,0.0,0.0,,0.0,0.0,,0.017241379310344827,0.23076923076923078,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.058823529411764705,0.05263157894736842,0.00980392156862745,0.0,0.0,,,0.03508771929824561,0.0,,0.3142857142857143,0.021897810218978103,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,
68,0.2857142857142857,,0.004784688995215311,0.0,0.0,,,,0.0,,0.17647058823529413,0.0625,,,0.0,0.027777777777777776,0.07936507936507936,0.0,0.07142857142857142,0.0,,0.0,,0.0,,0.047619047619047616,0.05,0.09090909090909091,0.2,0.0,0.0,0.0,,,,0.0,0.125,0.0,,0.03333333333333333,0.0,,0.0,0.0,0.0,0.07692307692307693,0.0,,0.0,,0.0,0.12195121951219512,0.034482758620689655,0.023255813953488372,0.021739130434782608,0.0,0.08695652173913043,0.0,,0.0,0.0,,0.1111111111111111,,0.0,0.0,0.06976744186046512,0.3076923076923077,0.0,0.041666666666666664,0.0,,0.0,0.0,,0.14285714285714285,,0.0,0.0136986301369863,0.034482758620689655,0.13953488372093023,,0.0,0.0,0.09090909090909091,0.0,0.008130081300813009,0.08333333333333333,0.4,0.0,0.3333333333333333,0.0,0.027777777777777776,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,,0.010638297872340425,0.09090909090909091,0.0,0.018867924528301886,0.0,0.0,0.0,0.0,0.25,0.011834319526627219,0.0,0.0,0.0,,,,0.0,0.0,0.04,0.0,0.0,0.0,0.05555555555555555,0.043478260869565216,0.0,0.02564102564102564,,0.0136986301369863,,,0.0,,0.08333333333333333,0.0,,0.0,0.0,,,0.0,0.0,0.06666666666666667,0.0,0.0,,0.0,,0.0,0.058823529411764705,0.0,0.0,,0.0,0.0,,0.017857142857142856,0.0,,0.0,,0.0,0.03076923076923077,,0.0,0.02127659574468085,,0.0,0.0,0.0,0.01818181818181818,0.0,,0.0,,,0.0,0.02857142857142857,0.0625,0.0,0.0,0.21428571428571427,,,0.054945054945054944,0.0,,0.40540540540540543,0.08064516129032258,0.0449438202247191,,0.0,0.125,0.0,0.0,0.0,0.05,,0.0,0.043478260869565216,,0.0,,
69,0.0,,0.0,0.0,0.047619047619047616,0.0,,,0.0,,0.07692307692307693,0.029411764705882353,,1.0,0.07142857142857142,0.1206896551724138,0.03773584905660377,0.0,0.391304347826087,0.0,,0.041237113402061855,,0.05,,0.10606060606060606,0.03896103896103896,0.0,0.4358974358974359,0.007142857142857143,0.08695652173913043,0.0072992700729927005,,,,0.0,0.0,0.2857142857142857,,0.03571428571428571,0.015384615384615385,,0.125,0.023255813953488372,0.0,0.0,0.1111111111111111,,0.0,,,0.29411764705882354,0.0,0.0,0.0,0.06382978723404255,0.043478260869565216,0.0,,0.2,0.0,,0.14285714285714285,,0.0,0.3333333333333333,0.09523809523809523,0.29411764705882354,0.019417475728155338,0.11475409836065574,,,0.0,0.1,,0.2727272727272727,,0.0,0.07407407407407407,0.02127659574468085,0.35714285714285715,,0.2727272727272727,0.047619047619047616,0.16666666666666666,0.0,0.0,0.03571428571428571,0.0,0.0,0.42857142857142855,0.0,0.37777777777777777,,0.0,0.0,,,,0.0,0.0,0.0,0.008695652173913044,0.0,0.05,0.0,,0.0,,0.023076923076923078,0.2222222222222222,0.03125,0.0,0.08695652173913043,0.0,0.0,0.1875,0.14285714285714285,0.009523809523809525,0.0,0.017543859649122806,0.0,,,,0.0,,0.15384615384615385,0.3333333333333333,0.0,0.0064516129032258064,0.0,0.10344827586206896,0.05194805194805195,0.23076923076923078,,0.05555555555555555,,,,,0.21428571428571427,0.07142857142857142,,0.0,0.0,,,0.0,0.0,0.09090909090909091,0.02040816326530612,0.2727272727272727,,0.058823529411764705,,0.2,0.15,0.2,0.0,,0.10344827586206896,0.0,,0.0,0.3333333333333333,,0.0,,0.0,0.09090909090909091,0.0,0.017857142857142856,0.016129032258064516,,0.0,0.0,0.36363636363636365,0.0,0.0,,0.0,,,0.034482758620689655,0.2558139534883721,0.14285714285714285,0.025210084033613446,0.0,0.2,,,0.11842105263157894,0.0,,0.2727272727272727,0.17647058823529413,0.013513513513513514,,0.0,0.07692307692307693,0.0,0.0,,0.0967741935483871,,,0.16666666666666666,,0.0,,
70,0.0,,0.0,0.0,0.5,,,,0.0,,0.25,0.0625,,0.0,0.16666666666666666,0.16,0.35714285714285715,0.013333333333333334,0.06666666666666667,0.3333333333333333,,0.13541666666666666,,0.0,,0.26865671641791045,0.04918032786885246,0.14285714285714285,0.7102272727272727,0.008928571428571428,0.43478260869565216,0.0,,,,0.09523809523809523,0.20833333333333334,0.7647058823529411,,0.041666666666666664,0.023809523809523808,,0.08695652173913043,0.0,0.0,0.05555555555555555,0.0,,0.0,,,0.39436619718309857,0.01639344262295082,0.0,0.05555555555555555,0.031746031746031744,0.0,0.0,0.0,0.625,0.038461538461538464,,0.2222222222222222,,0.0,0.0,0.15217391304347827,0.0,0.022988505747126436,0.1,,,0.0,0.05263157894736842,,0.1111111111111111,,0.125,0.06,0.09090909090909091,0.5641025641025641,,0.5675675675675675,0.391304347826087,0.058823529411764705,0.0,0.07017543859649122,0.21428571428571427,0.16666666666666666,0.07142857142857142,0.25,0.0625,0.3023255813953488,,0.3076923076923077,0.0,,,,0.0,0.0,0.0,0.014925373134328358,0.0,0.6341463414634146,0.0,,0.0,,0.11320754716981132,0.09090909090909091,0.09090909090909091,0.12307692307692308,0.2,0.07407407407407407,0.0,0.0625,0.14285714285714285,0.024390243902439025,0.03571428571428571,0.016666666666666666,0.04878048780487805,,,,0.0,,0.0,0.7837837837837838,0.0,0.0,0.03571428571428571,0.23255813953488372,0.09302325581395349,0.46153846153846156,,0.046511627906976744,,0.0,,,0.5217391304347826,0.0,,0.0,1.0,,,0.0,0.0,0.0,0.08860759493670886,0.5357142857142857,,0.1,,0.18518518518518517,0.0,0.1875,0.0,,0.2777777777777778,0.018518518518518517,,0.05405405405405406,1.0,,0.0,,0.0,0.12195121951219512,,0.08333333333333333,0.058823529411764705,,0.034482758620689655,0.1,0.5454545454545454,0.05555555555555555,0.05714285714285714,,0.03,,,0.0,0.38235294117647056,0.07142857142857142,0.11304347826086956,0.0,0.0,,,0.17721518987341772,0.020833333333333332,,0.39285714285714285,0.19047619047619047,0.07246376811594203,,0.0,0.3125,0.42857142857142855,0.07142857142857142,,0.16666666666666666,,,0.2,,0.0,,
71,0.2727272727272727,,0.05434782608695652,0.0,0.5294117647058824,,,,0.15384615384615385,,0.2,0.11764705882352941,,0.0,0.6666666666666666,0.23529411764705882,0.5,0.04081632653061224,0.21428571428571427,1.0,,0.20930232558139536,,0.0,,0.22857142857142856,0.08108108108108109,0.5,0.8673469387755102,0.013333333333333334,0.45,0.0,,,,0.047619047619047616,0.5428571428571428,0.8449612403100775,,0.3235294117647059,0.012195121951219513,,0.4166666666666667,0.0,0.0,0.3333333333333333,0.0,,0.0,,,0.6470588235294118,0.2549019607843137,0.19444444444444445,0.0975609756097561,0.0,0.0,0.0,,0.5294117647058824,0.2727272727272727,,0.23076923076923078,,0.043478260869565216,0.05263157894736842,0.125,0.08333333333333333,0.0,0.09523809523809523,,,0.08,0.06666666666666667,,0.3333333333333333,,0.3333333333333333,0.0,0.03389830508474576,0.7142857142857143,,0.38461538461538464,0.18181818181818182,0.25,0.3333333333333333,0.07432432432432433,0.17391304347826086,0.0,0.2857142857142857,0.6666666666666666,0.08,0.75,,0.8333333333333334,,,,,0.26666666666666666,1.0,0.0,0.0,0.125,0.8956521739130435,0.0,,0.3055555555555556,,0.1125,0.16666666666666666,0.2727272727272727,0.06153846153846154,0.75,0.06896551724137931,0.019230769230769232,0.058823529411764705,1.0,0.04854368932038835,0.0,0.014084507042253521,0.1346153846153846,,,,0.0,0.5,0.0625,0.8705882352941177,0.2,0.0,0.0,0.23809523809523808,0.14814814814814814,0.26666666666666666,,0.21951219512195122,,,,,0.5,0.0,,0.019230769230769232,0.0,,,0.42857142857142855,0.21739130434782608,0.0,0.06382978723404255,0.625,,0.18181818181818182,,0.4594594594594595,0.25,0.0,0.0,,0.2777777777777778,0.26582278481012656,0.0,0.4909090909090909,0.16666666666666666,,,,0.0,0.19148936170212766,,0.04,0.3142857142857143,,0.03571428571428571,0.0,0.7692307692307693,0.0,0.1794871794871795,,0.029411764705882353,,,0.0,0.5789473684210527,0.5555555555555556,0.2471264367816092,0.0,0.3,,,0.2222222222222222,0.06756756756756757,,0.5555555555555556,0.3,0.25,,0.0,0.44,0.0,0.21428571428571427,,0.6666666666666666,,,0.47058823529411764,,0.2857142857142857,,
72,0.3333333333333333,,0.022222222222222223,0.0,0.6379310344827587,,,,0.25,,0.0,0.4444444444444444,,0.6666666666666666,0.6,0.391304347826087,0.5,0.3617021276595745,0.3333333333333333,0.2,,0.25,,0.0,,0.38235294117647056,0.17142857142857143,0.0,0.9300155520995335,0.16176470588235295,0.75,0.0,,,,0.14285714285714285,0.5454545454545454,0.9731543624161074,,0.35714285714285715,0.028409090909090908,,0.41304347826086957,0.02857142857142857,0.4444444444444444,0.125,0.0,,0.16666666666666666,,,0.7878787878787878,0.2972972972972973,0.55,0.4838709677419355,0.0,0.46153846153846156,1.0,,0.3,0.07142857142857142,,0.07407407407407407,,0.03333333333333333,0.07692307692307693,0.22,0.4166666666666667,0.03296703296703297,0.07142857142857142,,,0.1875,0.35294117647058826,,0.0,,0.0,0.19047619047619047,0.17857142857142858,0.7575757575757576,,0.6666666666666666,0.36363636363636365,0.3333333333333333,1.0,0.3374233128834356,0.23076923076923078,0.16666666666666666,0.0,0.6666666666666666,0.20833333333333334,0.7166666666666667,,0.6,0.0,0.0,,,0.058823529411764705,0.2,0.022727272727272728,0.06976744186046512,0.06666666666666667,0.6451612903225806,0.0,,0.27586206896551724,,0.32978723404255317,0.0,0.25,0.17142857142857143,0.5,0.36585365853658536,0.07142857142857142,0.043478260869565216,0.6666666666666666,0.14285714285714285,0.0,0.20192307692307693,0.35294117647058826,,,,0.1,0.0,0.0851063829787234,0.8379888268156425,0.6666666666666666,0.01652892561983471,0.0,0.14893617021276595,0.11764705882352941,0.34782608695652173,1.0,0.3958333333333333,,,0.2,,0.75,0.2857142857142857,,0.02857142857142857,0.3333333333333333,,,0.4375,0.29411764705882354,0.0,0.1111111111111111,0.8780487804878049,,0.23809523809523808,,0.9555555555555556,0.5769230769230769,0.4,0.0,,0.4782608695652174,0.2608695652173913,,0.7682926829268293,0.14285714285714285,,,,0.1,0.23809523809523808,,0.04878048780487805,0.45,,0.0,0.25,0.5714285714285714,0.047619047619047616,0.2857142857142857,,0.10526315789473684,,,0.0,0.775,0.8,0.2,0.0,0.3333333333333333,,,0.24324324324324326,0.11666666666666667,,0.56,0.608,0.6590909090909091,,0.14285714285714285,0.4666666666666667,0.0,0.047619047619047616,,0.5,,,0.2857142857142857,,0.625,,
73,0.7142857142857143,,0.23853211009174313,0.3333333333333333,0.5901639344262295,,,,1.0,,0.8333333333333334,0.5294117647058824,,0.0,0.5,0.5483870967741935,0.391304347826087,0.45454545454545453,0.6363636363636364,0.0,,0.40350877192982454,,0.0,,0.8301886792452831,0.3333333333333333,0.3333333333333333,0.9432835820895522,0.03125,0.5277777777777778,0.3275862068965517,,,,0.3333333333333333,0.43478260869565216,0.9507772020725389,,0.4117647058823529,0.06451612903225806,,0.6632653061224489,0.030303030303030304,0.7272727272727273,0.16666666666666666,0.6875,,0.6666666666666666,,,0.4375,0.7926829268292683,0.4,0.47619047619047616,0.0,0.6190476190476191,,,0.6923076923076923,0.08333333333333333,,0.2857142857142857,,0.12121212121212122,0.06666666666666667,0.6071428571428571,0.5333333333333333,0.0449438202247191,0.6216216216216216,,,0.23076923076923078,0.5294117647058824,,0.7,,0.8,0.48148148148148145,0.5909090909090909,0.8596491228070176,,0.65,0.5384615384615384,0.3888888888888889,0.0,0.6115702479338843,0.6222222222222222,0.5384615384615384,0.0,0.75,0.3584905660377358,0.8103448275862069,,0.3333333333333333,0.16666666666666666,,,,0.0,0.14285714285714285,0.08,0.06666666666666667,0.28,0.5,0.0,,0.2,,0.7393617021276596,0.875,0.3076923076923077,0.675,0.4166666666666667,0.6410256410256411,0.04878048780487805,0.125,0.6666666666666666,0.44148936170212766,0.14285714285714285,0.43333333333333335,0.6821705426356589,,1.0,,0.2222222222222222,,0.6129032258064516,0.9370860927152318,1.0,0.08235294117647059,0.5454545454545454,0.4375,0.2916666666666667,0.7714285714285715,,0.6463414634146342,,,0.0,,0.6470588235294118,0.0,,0.034482758620689655,0.043478260869565216,,,0.7,0.44,0.125,0.05357142857142857,0.9324324324324325,,0.16666666666666666,,0.967741935483871,0.8620689655172413,0.5882352941176471,,,0.35294117647058826,0.5789473684210527,,0.9065420560747663,0.2222222222222222,,,,0.2,0.36363636363636365,,0.09259259259259259,0.7755102040816326,,0.125,0.3333333333333333,0.7948717948717948,0.16666666666666666,0.7727272727272727,,0.058823529411764705,,,0.0,0.7317073170731707,0.8695652173913043,0.20270270270270271,0.2,0.2857142857142857,,,0.48148148148148145,0.625,,0.92,0.8351648351648352,0.8256130790190735,,0.46153846153846156,0.16129032258064516,0.4,0.375,,0.8,,,0.4782608695652174,0.0,0.875,,
74,0.9811320754716981,,0.5137614678899083,0.6666666666666666,0.7605633802816901,,,,0.75,,0.8333333333333334,0.7272727272727273,,0.0,0.9,0.7777777777777778,0.78125,0.6,0.6,1.0,1.0,0.3875,,0.7,,0.860655737704918,0.6896551724137931,0.5555555555555556,0.9622641509433962,0.4230769230769231,0.7464788732394366,0.5657894736842105,,,,0.625,0.6119402985074627,0.9793388429752066,,0.8125,0.47706422018348627,,0.8235294117647058,0.65625,0.896551724137931,0.9491525423728814,0.9318181818181818,,0.0,,,0.7674418604651163,0.9223744292237442,0.6065573770491803,0.88,0.48,0.8275862068965517,0.5,,0.9285714285714286,0.4852941176470588,,0.78,,0.4838709677419355,0.8695652173913043,0.65625,0.6571428571428571,0.28205128205128205,0.9117647058823529,,,0.7692307692307693,0.6956521739130435,,0.8928571428571429,,0.9375,0.7887323943661971,0.9101123595505618,0.8536585365853658,,0.8367346938775511,0.6615384615384615,0.7608695652173914,1.0,0.8541666666666666,0.6842105263157895,0.8936170212765957,0.0,0.9795918367346939,0.7947019867549668,0.8108108108108109,,0.25,0.0,,,,1.0,0.25,0.38461538461538464,0.5263157894736842,0.5,0.71875,0.14285714285714285,,0.8412698412698413,,0.9434523809523809,0.9772727272727273,0.3333333333333333,0.8478260869565217,0.7333333333333333,0.7301587301587301,0.6808510638297872,0.3,0.9629629629629629,0.4596774193548387,1.0,0.6666666666666666,0.7954545454545454,,,,0.15384615384615385,0.5,0.8650793650793651,0.9481865284974094,1.0,0.1746031746031746,0.9615384615384616,0.5714285714285714,0.5454545454545454,0.84,,0.96,,,0.16666666666666666,,0.8333333333333334,0.8125,,0.23076923076923078,0.09090909090909091,,,0.7619047619047619,0.6904761904761905,0.75,0.3125,0.9572649572649573,,0.5,,0.9830508474576272,0.825,0.896551724137931,1.0,,0.8,0.7771084337349398,,0.96,0.21739130434782608,,1.0,,0.6,0.5918367346938775,,0.2826086956521739,0.9329608938547486,,0.875,0.5,0.8,0.04,0.8865979381443299,,0.28,,,0.3333333333333333,0.9130434782608695,0.975609756097561,0.5,0.7857142857142857,0.6,,,0.8511904761904762,0.8142857142857143,,0.8867924528301887,0.8807339449541285,0.933253873659118,,0.6875,0.5833333333333334,0.9166666666666666,0.8666666666666667,,0.9354838709677419,,,0.5945945945945946,,0.9,,
75,0.97,,0.7552742616033755,1.0,0.8985507246376812,,,0.0,0.9583333333333334,,0.9,0.8633093525179856,,0.2857142857142857,0.8888888888888888,0.9178082191780822,0.8775510204081632,0.8636363636363636,0.8441558441558441,0.8571428571428571,1.0,0.7642857142857142,,0.875,,0.9675675675675676,0.8333333333333334,0.8627450980392157,0.9876106194690265,0.7272727272727273,0.8809523809523809,0.7340425531914894,0.0,,,0.8235294117647058,0.9024390243902439,0.9880952380952381,,0.9444444444444444,0.6688524590163935,,0.9407407407407408,0.9411764705882353,0.9722222222222222,0.9915254237288136,0.9452054794520548,,0.7647058823529411,,,0.8793103448275862,0.9550173010380623,0.7205882352941176,0.9646464646464646,0.8529411764705882,0.9538461538461539,0.9333333333333333,,0.9142857142857143,0.7567567567567568,,0.8735632183908046,,0.5945945945945946,0.9636363636363636,0.8627450980392157,0.9433962264150944,0.6944444444444444,0.9571428571428572,,,0.7083333333333334,0.912621359223301,,0.9318181818181818,,0.9767441860465116,0.9624060150375939,0.9769230769230769,0.9354838709677419,,0.89,0.9397590361445783,0.8709677419354839,1.0,0.9356110381077529,0.8863636363636364,0.9774436090225563,0.16666666666666666,0.9797979797979798,0.9096774193548387,0.96875,,0.6744186046511628,0.9444444444444444,,,,0.9523809523809523,0.9,0.43478260869565216,0.6865671641791045,0.7096774193548387,0.9868421052631579,0.56,,0.9568965517241379,,0.95703125,1.0,0.8857142857142857,0.8723404255319149,0.9315068493150684,0.7692307692307693,0.8983050847457628,0.9333333333333333,0.926605504587156,0.7829457364341085,0.8125,0.9186046511627907,0.9346153846153846,,,,0.5714285714285714,1.0,0.9123505976095617,0.9849246231155779,1.0,0.4262295081967213,0.9375,0.8217054263565892,0.782608695652174,0.8709677419354839,,0.9745762711864406,,,0.5238095238095238,,0.8571428571428571,0.84,,0.34,0.782608695652174,,1.0,0.8717948717948718,0.8780487804878049,0.7666666666666667,0.7066666666666667,0.9772727272727273,,0.8478260869565217,,0.9230769230769231,0.8944444444444445,0.8148148148148148,,,0.92,0.9658536585365853,,0.9970760233918129,0.7959183673469388,,0.8333333333333334,,0.7142857142857143,0.9333333333333333,,0.6666666666666666,0.9134615384615384,1.0,0.75,0.7,0.9693877551020408,0.6818181818181818,0.9655172413793104,,0.6363636363636364,,,0.8461538461538461,0.8947368421052632,0.9873417721518988,0.8741258741258742,0.8636363636363636,0.8541666666666666,0.0,1.0,0.9583333333333334,0.8324022346368715,,0.975,0.8166666666666667,0.9615686274509804,,0.8780487804878049,0.8928571428571429,0.9736842105263158,0.9646017699115044,,0.9629629629629629,,,0.9294117647058824,,0.8888888888888888,,1.0
